"Sygnatura czasowa","Jak często korzystasz ze sztucznej inteligencji?","Jak oceniasz wpływ sztucznej  inteligencji na twoje życie codzienne? (Jeśli nie korzystasz z narzędzi AI, pomiń to pytanie)","Do jakich celów używasz sztucznej inteligencji?","Twój obecny etap edukacji:","Czy obecnie jesteś zatrudniony/a lub wykonujesz pracę zarobkową?","Czy obecnie jesteś zatrudniony/-a lub wykonujesz pracę zarobkową?","Na jakim stanowisku pracujesz?","Jak oceniasz wpływ sztucznej inteligencji na twoją pracę?","Jeżeli wykorzystujesz AI w swojej pracy, to w jakim celu? (Jeśli nie, pomiń to pytanie)","Jakie są twoje największe obawy związane z wykorzystaniem sztucznej inteligencji w miejscu pracy?","Czy uważasz, że w przyszłości sztuczna inteligencja będzie w stanie zastąpić twoje aktualne stanowisko pracy?","Czym się zajmujesz zawodowo?","Jak oceniasz wpływ sztucznej inteligencji na twoją pracę?","Jeżeli wykorzystujesz AI w swojej pracy, to w jakim celu? (Jeśli nie, pomiń to pytanie)","Jakie są twoje największe objawy związane z wykorzystaniem sztucznej inteligencji w miejscu pracy?","Czy uważasz, że w przyszłości sztuczna inteligencja będzie w stanie zastąpić twoje aktualne stanowisko pracy?","Na jakim kierunku studiujesz? (Jeśli nie jesteś studentem/studentką, pomiń to pytanie)","Jak oceniasz wpływ sztucznej inteligencji na twoją edukację?","Jeśli korzystasz ze sztucznej inteligencji w edukacji, to w jakim celu? (Jeśli nie, pomiń to pytanie)","Jak oceniasz wpływ sztucznej inteligencji na twoje plany dotyczące przyszłego kierunku studiów/przyszłej kariery?","Czy obawiasz się, że sztuczna inteligencja może w przyszłości zastąpić twoją pracę lub karierę zawodową?","Czy uważasz, że korzystanie z AI w edukacji/pracy powinno być ograniczane lub kontrolowane przez szkoły/uczelnie/firmy?","Czy boisz się, że AI może negatywnie wpłynąć na jakość edukacji?","Czy uważasz, że zbyt częste korzystanie z AI może osłabiać kreatywność?","Czy uważasz, że jesteś w pewnym stopniu uzależniony/a od narzędzi opartych na sztucznej inteligencji?","Jeśli na poprzednie pytanie odpowiedziałeś/-aś twierdząco, czy chciał(a)byś ograniczyć korzystanie z narzędzi AI? (W przeciwnym przypadku pomiń to pytanie)","Czy brak dostępu do narzędzi AI utrudniłby Ci naukę, pracę lub codzienne zadania?","Jakie widzisz korzyści i zagrożenia związane z rozwojem sztucznej inteligencji?"
"2025/05/21 1:57:10 PM EEST","Więcej niż raz dziennie","4","Pomoc w nauce (np. wyjaśnianie zagadnień, streszczenia);Tłumaczenie treści","Szkoła średnia","Tak","","Praca w lodziarni ","3","","Brak","2","","","","","","","4","Zadaje pytania na które nie znam odp","3","1","2","2","5","3","","3",""
"2025/05/21 1:57:57 PM EEST","Kilka razy w tygodniu","4","Pomoc w nauce (np. wyjaśnianie zagadnień, streszczenia);Pisanie tekstów (np. e-maili, prac, wpisów);Tłumaczenie treści;Generowanie grafik / obrazów;Rozrywka (np. chatboty, gry);Do gier","Zakończyłem/-am swoją edukację","","Tak","","","","","","Teleinformatyką ","3","","Utrata pracy;Poleganie na sztucznej inteligencji podczas wykonywania obowiązków służbowych;Zmniejszenie znaczenia kompetencji pracownika","3","","","","","","4","3","5","2","3","3",""
"2025/05/21 1:59:00 PM EEST","Kilka razy w tygodniu","4","Pomoc w nauce (np. wyjaśnianie zagadnień, streszczenia);Generowanie grafik / obrazów","Studia/Szkoła wyższa","Tak","","Kelnerka","3","","Brak","2","","","","","","Psychologia","4","Rozwinięcie merytoryczne tekstów naukowych","3","1","4","4","5","1","","3",""
"2025/05/21 1:59:15 PM EEST","Kilka razy w tygodniu","5","Pomoc w nauce (np. wyjaśnianie zagadnień, streszczenia);Tłumaczenie treści","Studia/Szkoła wyższa","Nie","","","","","","","","","","","","Kryminalistyka","5","Pomoc naukowa","5","1","3","3","3","1","","1","Widzę korzyści takie jak rozwój gospodarki poprzez sztuczną inteligencje, a zagrożenia to np łatwiejsze podszywanie się pod kogoś, wyłudzenia itp"
"2025/05/21 2:01:52 PM EEST","Kilka razy w tygodniu","3","Pomoc w nauce (np. wyjaśnianie zagadnień, streszczenia);Pisanie tekstów (np. e-maili, prac, wpisów);Tłumaczenie treści;Wsparcie w podejmowaniu decyzji","Studia/Szkoła wyższa","Tak","","Kierowca","2","","Zmniejszenie znaczenia kompetencji pracownika","1","","","","","","Transport spec. logistyka i spedycja ","4","Szukanie informacji i wyjaśnienie pewnych zagadnień","4","2","2","4","3","1","","4",""
"2025/05/21 2:03:32 PM EEST","Raz w miesiącu","","Rozrywka (np. chatboty, gry);","Zakończyłem/-am swoją edukację","","Tak","","","","","","Gastronomia ","5","","Brak","4","","","","","","3","4","5","1","","1",""
"2025/05/21 2:05:29 PM EEST","Więcej niż raz dziennie","3","Pomoc w nauce (np. wyjaśnianie zagadnień, streszczenia);Pisanie tekstów (np. e-maili, prac, wpisów);Tłumaczenie treści;Programowanie i analiza danych;Generowanie grafik / obrazów;Rozrywka (np. chatboty, gry)","Studia/Szkoła wyższa","Nie","","","","","","","","","","","","Bioinf","3","Nauka i planowanie","4","1","5","5","5","4","5","4","Fajnie korzystać jak już się umie "
"2025/05/21 2:08:02 PM EEST","Kilka razy w tygodniu","3","Pomoc w nauce (np. wyjaśnianie zagadnień, streszczenia);Tłumaczenie treści","Szkoła średnia","Nie","","","","","","","","","","","","","3","pomoc w robieniu projektów, szukanie informacji na temat różnych rzeczy","3","5","3","4","2","1","","1","Widzę zagrożenie właśnie tym, że może to kiedyś przejąć świat patrząc na to jak to sie rozwija i dużo osób mogło by poprostu stracić pracę "
"2025/05/21 2:09:23 PM EEST","Kilka razy w tygodniu","3","Pomoc w nauce (np. wyjaśnianie zagadnień, streszczenia);Tłumaczenie treści;Wsparcie w podejmowaniu decyzji","Szkoła średnia","Tak","","Kucharz ","3","Do przepisów ","Brak","2","","","","","","","3","Ściągnie na kartkówce ","3","2","2","4","4","1","3","1",""
"2025/05/21 2:10:06 PM EEST","Kilka razy w miesiącu","4","Pomoc w nauce (np. wyjaśnianie zagadnień, streszczenia);Pisanie tekstów (np. e-maili, prac, wpisów);przepisy kulinarne","Mam przerwę od edukacji","","Tak","","","","","","praca w korporacji","3","","Zmniejszenie znaczenia kompetencji pracownika","5","","","","","","5","5","5","2","","1",""
"2025/05/21 2:11:07 PM EEST","Raz w tygodniu","4","Pomoc w nauce (np. wyjaśnianie zagadnień, streszczenia);Programowanie i analiza danych;Wsparcie w podejmowaniu decyzji","Studia/Szkoła wyższa","Nie","","","","","","","","","","","","biotechnologia ","4","szukanie artykulow, pomoc w zrozumieniu rzeczy","4","2","4","3","5","4","3","3",""
"2025/05/21 2:13:18 PM EEST","Kilka razy w tygodniu","4","Pomoc w nauce (np. wyjaśnianie zagadnień, streszczenia);Pisanie tekstów (np. e-maili, prac, wpisów)","Studia/Szkoła wyższa","Nie","","","","","","","","","","","","Biokosmetologia","2","Wyjaśnienie i streszczenie zagadnień, które sprawiają mi największą trudność","4","2","3","5","5","3","4","3","Korzyści: może ułatwić szybkie zbieranie informacji, może pomóc w wyselekcjonowaniu kluczowych informacji na dany temat, może pomóc w zorganizowaniu planu np prezentacji multimedialnej lub notatek.
Zagrożenia: sztuczna inteligencja nie zawsze podaje poprawne odpowiedzi na różne pytania, często wprowadza w błąd, może siać dezinformacje i upośledza kreatywność, zwłaszcza najmłodszych użytkowników "
"2025/05/21 2:14:39 PM EEST","Kilka razy w tygodniu","5","Pomoc w nauce (np. wyjaśnianie zagadnień, streszczenia);Pisanie tekstów (np. e-maili, prac, wpisów);Generowanie grafik / obrazów;Wsparcie w podejmowaniu decyzji","Studia/Szkoła wyższa","Nie","","","","","","","","","","","","Psychologia","4","Nauka, tłumaczenie różnego rodzaju badań/teorii","3","2","4","5","5","3","","2","Korzysci: pomoc w nauce poprzez generowanie roznego rodzaju testow, notatek i tlumaczenie bardziej zawilych teorii w przystepny dla odbiorcy sposob, generowanie roznego rodzaju grafik, ktore normalnie wymagalyby umiejetnosci/dostepu do praw autorskich. Zagrozenia: błędne decyzje, naruszenia prywatności, stronniczość, oszustwa i cyberzagrożeni"
"2025/05/21 2:20:18 PM EEST","Więcej niż raz dziennie","5","Pomoc w nauce (np. wyjaśnianie zagadnień, streszczenia);Generowanie grafik / obrazów;Wsparcie w podejmowaniu decyzji;Pytania o moralność i inne rzeczy","Szkoła średnia","Nie","","","","","","","","","","","","","3","Może w przygotowaniu w uczeniu się ","3","3","4","3","3","2","2","2","Ściąganie, niesprawiedliwość, możliwość problemu z pracą "
"2025/05/21 2:24:06 PM EEST","Kilka razy w tygodniu","3","Tłumaczenie treści","Mam przerwę od edukacji","","Tak","","","","","","Sprzedaż perfum ","5","Tworzenie Logo ","Brak","1","","","","","","3","3","3","3","3","3","Żadne "
"2025/05/21 2:24:38 PM EEST","Kilka razy w tygodniu","3","Pomoc w nauce (np. wyjaśnianie zagadnień, streszczenia);Pisanie tekstów (np. e-maili, prac, wpisów);Wsparcie w podejmowaniu decyzji","Szkoła średnia","Nie","","","","","","","","","","","","","3","pomoc w odpowiedzi na niektóre pytania","2","1","4","5","5","2","","1","korzyści: 
- pomoc w pracy, nauce, codziennych czynnościach np. przygotowanie obiadu

zagrożenia:
- zastąpienie przez AI niektórych stanowisk pracy
- mniejsza kreatywność 
- oszustwa"
"2025/05/21 2:26:39 PM EEST","Raz w tygodniu","2","Wsparcie w podejmowaniu decyzji","Zakończyłem/-am swoją edukację","","Tak","","","","","","Kurier ","1","","Brak kontroli nad ważnymi decyzjami podejmowanymi przez sztuczną inteligencję","1","","","","","","3","2","5","3","1","1","Żadne "
"2025/05/21 2:28:22 PM EEST","nie korzystam z zasady, ale kilka razy w przeszłości skorzystałam.","","Nie korzystam z AI","Studia/Szkoła wyższa","Nie","","","","","","","","","","","","biotechnologia ","3","","2","1","2","5","5","1","","1","Korzyści - narzędzia AI mają potencjał bycia użytecznymi w diagnostyce, medycynie i naukach przyrodniczych. To bardzo zaawansowane algorytmy i z pewnością znajdą się ludzie, którzy wymyślą sposoby utylizacji ich w celu poprawy jakości naszego codziennego życia. AI może być narzędziem wspierającym specjalistów z wielu dziedzin.
Zagrożenia - ludzie zatracają umiejętność samodzielnego formułowania zdań. Zdolność do ubierania myśli w słowa jest cechą ludzi wolnych (przychodzi na myśl Rok 1984 Orwella), a coraz więcej z moich rówieśników kompletnie polega na AI w celu pisania różnych tekstów czy prezentacji. Nie ufam obecnym narzędziom AI w kwestii poprawnej interpretacji języka pisanego ani cytowania innych źródeł. Już wcześniej twierdziłam, że większość ludzi cechuje szokująco niski poziom zdolności czytania ze zrozumieniem ale obawiam się, że problem będzie się tylko pogarszał. Druga kwestia: AI potrzebuje ogromne ilości energii i wody, co niepokoi mnie w kwestii obecnego kryzysu klimatycznego. Trzecia: niskiej jakości treści wytworzone przez AI (grafiki, tłumaczenia tekstów) zaleją rynek (właściwie to już się to dzieje). Jakość sztuki ogólnodostępnej, wzornictwa spadnie ponieważ producentów bardziej obchodzi ograniczanie kosztów niż tworzenie czegoś wartościowego, o wysokiej jakości wykonania, nie wspominając nawet o kryzysie jaki może dosięgnąć wszystkie osoby pracujące kreatywnie. Czwarta: AI to narzędzie ułatwiające szerzenie dezinformacji, z którą już mamy ogromny problem w sieci. Większość osób starszych (a przynajmniej ludzi którzy nie spędzają po kilka godzin w internecie dziennie) ma problem z odróżnianiem grafiki wygenerowanej przez AI od prawdziwych zdjęć, a sama technika generowania obrazów staje się lepsza z dnia na dzień. Na koniec, biorąc pod uwagę obecnie panujący kryzys samotności panujący szczególnie wśród osób młodych i wzrastająca popularność AI chatbotów... obawiam się, że coraz więcej osób polegać będzie na tych maszynach w kwestii spełniania emocjonalnych potrzeb, co potwierdzają już niektóre badania jeśli dobrze pamiętam. Nie wydaje mi się to dobrym kierunkiem na przyszłość."
"2025/05/21 2:33:27 PM EEST","Kilka razy w miesiącu","5","Pomoc w nauce (np. wyjaśnianie zagadnień, streszczenia);Rozrywka (np. chatboty, gry)","Zakończyłem/-am swoją edukację","","Nie","","","","","","","","","","","","","","","","2","2","4","1","","1","Usprawnienie i przyśpieszenie pracy/nauki/szukania informacji = większa wydajność"
"2025/05/21 2:39:32 PM EEST","Więcej niż raz dziennie","4","Pomoc w nauce (np. wyjaśnianie zagadnień, streszczenia);Tłumaczenie treści;Programowanie i analiza danych;Generowanie grafik / obrazów;Wsparcie w podejmowaniu decyzji","Studia/Szkoła wyższa","Nie","","","","","","","","","","","","informatyka","4","tłumaczenie zagadnień i poleceń","4","4","1","1","5","4","1","5","zastępuje korepetytora ale z bardziej skomplikowanymi tematami ma problemy"
"2025/05/21 2:39:47 PM EEST","Kilka razy w tygodniu","3","Pomoc w nauce (np. wyjaśnianie zagadnień, streszczenia)","Między szkołą średnią a studiami/szkołą wyższą","Tak","","instruktor","3","","Zmniejszenie znaczenia kompetencji pracownika;Etyczne wykorzystanie sztucznej inteligencji;Brak kontroli nad ważnymi decyzjami podejmowanymi przez sztuczną inteligencję","2","","","","","","","4","","2","3","5","5","5","1","5","3",""
"2025/05/21 2:42:07 PM EEST","Raz w tygodniu","3","Pomoc w nauce (np. wyjaśnianie zagadnień, streszczenia);Tłumaczenie treści","Zakończyłem/-am swoją edukację","","Nie","","","","","","","","","","","","","","","","3","4","5","1","","2","Korzyść: pomoc w nauce wada: możliwe błędy popełniane przez sztuczna inteligencje "
"2025/05/21 2:57:49 PM EEST","Kilka razy w tygodniu","2","Pomoc w nauce (np. wyjaśnianie zagadnień, streszczenia);Pisanie tekstów (np. e-maili, prac, wpisów);Tłumaczenie treści","Szkoła średnia","Nie","","","","","","","","","","","","","5","","4","3","1","3","3","1","3","1",""
"2025/05/21 3:00:43 PM EEST","Codziennie","4","Pomoc w nauce (np. wyjaśnianie zagadnień, streszczenia);Wsparcie w podejmowaniu decyzji","Szkoła średnia","Nie","","","","","","","","","","","","","4","","4","3","3","3","3","1","","2",""
"2025/05/21 3:03:57 PM EEST","Codziennie","3","Pomoc w nauce (np. wyjaśnianie zagadnień, streszczenia);Tłumaczenie treści","Szkoła średnia","Nie","","","","","","","","","","","","","3","","3","4","3","4","2","2","","4",""
"2025/05/21 3:07:21 PM EEST","Kilka razy w tygodniu","5","Pomoc w nauce (np. wyjaśnianie zagadnień, streszczenia);Pisanie tekstów (np. e-maili, prac, wpisów)","Studia/Szkoła wyższa","Nie","","","","","","","","","","","","Lekarski","5","Tłumaczenie zagadnień, streszczanie tekstów, tworzenie prezentacji","3","4","2","4","5","1","","5","Zagrożenia: Utrata miejsc pracy przez ludzi, bunt sztucznej inteligencji, zwiększanie nierówności między ludźmi bogatymi i biednymi (osobliwość i połączenie mózg-maszyna), korzyści: przyspieszenie pracy i efektywności, możliwe wprowadzenie dochodu podstawowego, praca być może będzie wyłącznie dla chętnych"
"2025/05/21 3:45:20 PM EEST","Nigdy","","Pomoc w nauce (np. wyjaśnianie zagadnień, streszczenia)","Szkoła podstawowa klasy 4-8","","","","","","","","","","","","","","4","","3","1","1","2","4","1","","2",""
"2025/05/21 3:45:31 PM EEST","Raz w tygodniu","5","Pomoc w nauce (np. wyjaśnianie zagadnień, streszczenia)","Szkoła średnia","Tak","","Monter","3","","Zmniejszenie znaczenia kompetencji pracownika","1","","","","","","","3","","3","1","4","4","5","1","","1",""
"2025/05/21 3:50:57 PM EEST","Więcej niż raz dziennie","2","Pomoc w nauce (np. wyjaśnianie zagadnień, streszczenia);Pisanie tekstów (np. e-maili, prac, wpisów);Programowanie i analiza danych","Studia/Szkoła wyższa","Nie","","","","","","","","","","","","Informatyka","2","Debugowanie?","3","3","3","5","2","3","4","3","AI uczące się na treściach generowanych przez inne AIz co zdecydowanie dwgradowaloby dane"
"2025/05/21 3:54:34 PM EEST","Więcej niż raz dziennie","5","Pomoc w nauce (np. wyjaśnianie zagadnień, streszczenia);Pisanie tekstów (np. e-maili, prac, wpisów)","Studia/Szkoła wyższa","Nie","","","","","","","","","","","","Prawo i biznes","5","Wyjaśnianie treści, tworzenie notatek i quizów ","4","1","2","3","4","4","2","4","Zbyt duża zależność ludzi od AI, brak samodzielnego myślenia. Jeśli chodzi o korzyści to usunięcie z życia żmudnych, powtarzalnych prac  np. Papierkowych "
"2025/05/21 3:58:15 PM EEST","Raz w miesiącu","2","Generowanie grafik / obrazów","Szkoła podstawowa klasy 4-8","","","","","","","","","","","","","","2","","2","5","5","5","5","5","","1",""
"2025/05/21 4:03:03 PM EEST","Kilka razy w miesiącu","3","Pomoc w nauce (np. wyjaśnianie zagadnień, streszczenia);Pisanie tekstów (np. e-maili, prac, wpisów)","Szkoła średnia","Nie","","","","","","","","","","","","","4","robienie sprawdzianów, pomoc w nauce ","3","4","4","4","4","1","","3",""
"2025/05/21 4:13:58 PM EEST","Kilka razy w tygodniu","3","Pomoc w nauce (np. wyjaśnianie zagadnień, streszczenia)","Szkoła podstawowa klasy 4-8","","","","","","","","","","","","","","3","w celu pomocy w nauce ","3","4","4","4","4","1","","2",""
"2025/05/21 4:27:08 PM EEST","Kilka razy w tygodniu","5","Pomoc w nauce (np. wyjaśnianie zagadnień, streszczenia);Tłumaczenie treści;Generowanie grafik / obrazów;Rozrywka (np. chatboty, gry)","Studia/Szkoła wyższa","Nie","","","","","","","","","","","","Lekarski","5","Streszczanie tekstów, pomoc w tworzeniu mnemotechnik, wyjaśnianie problemów","4","3","2","3","4","1","","4","Szybsze rozwiązania problemów "
"2025/05/21 4:32:22 PM EEST","Nigdy","","Nie korzystam z AI","Zakończyłem/-am swoją edukację","","Tak","","","","","","Ubezpieczenia ","3","","Brak","4","","","","","","5","5","3","1","","1",""
"2025/05/21 4:33:20 PM EEST","Kilka razy w miesiącu","3","Pomoc w nauce (np. wyjaśnianie zagadnień, streszczenia)","Studia/Szkoła wyższa","Tak","","Prepress technican","2","","Zmniejszenie znaczenia kompetencji pracownika","1","","","","","","Multimedia i grafika komputerowa ","2","Jak potrzebuje przeredagować to co napisałam w sposób bardziej czytelny i zrozumiały ","2","4","4","5","5","1","","2","Korzyści - szybkość, łatwość dostępu
Zagrożenia - SI jest bardzo nieekologiczne ;może sprawić (w pracy grafika komputerowego), że klienci będą polegać na niej ze względu na to, że jest darmowa; SI kradnie własność intelektualną innych twórców"
"2025/05/21 4:38:34 PM EEST","Kilka razy w miesiącu","1","Pomoc w nauce (np. wyjaśnianie zagadnień, streszczenia);Tłumaczenie treści","Studia/Szkoła wyższa","Tak","","masażysta/korepetytor","1","by szybciej uzyskać informacje naukowe ","Utrata pracy;Zmniejszenie znaczenia kompetencji pracownika;Etyczne wykorzystanie sztucznej inteligencji;Brak kontroli nad ważnymi decyzjami podejmowanymi przez sztuczną inteligencję","2","","","","","","fizjoterapia","3","by łatwiej pozyskiwać odpowiedzi na pytania","3","5","5","5","5","1","","2","ogromne bezrobocie, dużo chaosu informacji w świecie "
"2025/05/21 4:45:45 PM EEST","Więcej niż raz dziennie","5","Pomoc w nauce (np. wyjaśnianie zagadnień, streszczenia);Pisanie tekstów (np. e-maili, prac, wpisów);Tłumaczenie treści;Rozrywka (np. chatboty, gry)","Studia/Szkoła wyższa","Nie","","","","","","","","","","","","Lekarskim","5","Żeby się nauczyć, poprosić o wytłumaczenie mechanizmów choroby, rozwiązać zadania ","4","1","3","3","5","5","3","5","Korzyści: łatwiejszy dostęp do informacji 
Negatywy: zanik umiejętności samodzielnego myślenia, wyszukiwania informacji, kreatywności "
"2025/05/21 4:45:50 PM EEST","Raz w miesiącu","3","Pisanie tekstów (np. e-maili, prac, wpisów);Programowanie i analiza danych","Studia/Szkoła wyższa","Nie","","","","","","","","","","","","Informatyka, lingwistyka","3","Troubleshooting przy nauce nowych narzędzi programowania, do których nie umiem na szybko znaleźć przejrzystej dokumentacji","2","5","5","5","5","1","","1","1.Wszyscy się na to rzucą jak szaleni, zamiast skupić się na rozwiązywaniu ważnych problemów w np. edukacji, których AI nie rozwiąże
2. Jeszcze mniej z nas będzie miało chęć i umiejętność szukania trudnych do znalezienia informacji
3. Jeszcze bardziej  będziemy przytłoczeni napływem informacji o niskiej jakości, bo łatwiej będzie ją tworzyć np. antivaxxerom czy gazetom chcącym pozwalniać dziennikarzy dla oszczędności "
"2025/05/21 4:47:10 PM EEST","Kilka razy w tygodniu","5","Pomoc w nauce (np. wyjaśnianie zagadnień, streszczenia)","Szkoła średnia","Nie","","","","","","","","","","","","","4","Lepszego zrozumienia tematu ","4","1","1","3","2","3","2","1","Zamknięta głowa nie widzę "
"2025/05/21 4:47:32 PM EEST","Więcej niż raz dziennie","5","Pomoc w nauce (np. wyjaśnianie zagadnień, streszczenia);Tłumaczenie treści;Programowanie i analiza danych;Wsparcie w podejmowaniu decyzji","Zakończyłem/-am swoją edukację","","Tak","","","","","","programista, gamedev","5","Tłumaczenie wycinków kodu, generowanie kodu, generowanie streszczeń commitów do Gita","Utrata pracy;Poleganie na sztucznej inteligencji podczas wykonywania obowiązków służbowych","4","","","","","","5","5","5","4","3","4","Korzyści: przyspieszenie pracy
Zagrożenia: wprowadzanie przez AI błędów do kodu, które nie zostały dostrzeżone przez osobę korzystające z AI i które mogą być trudne do wykrycia; ewentualne zwiększenie zależności programistów od AI i osłabienie samodzielności i kompetencji pracowników "
"2025/05/21 4:54:37 PM EEST","Więcej niż raz dziennie","5","Pomoc w nauce (np. wyjaśnianie zagadnień, streszczenia);Tłumaczenie treści;Rozrywka (np. chatboty, gry);Wsparcie w podejmowaniu decyzji","Studia/Szkoła wyższa","Nie","","","","","","","","","","","","pielegniarstwo!!! pozdra agyatte","5","robi mi notatki z ktorych sie ucze","4","2","3","1","1","2","","5","motywuje mnie"
"2025/05/21 5:20:23 PM EEST","Kilka razy w tygodniu","4","Pomoc w nauce (np. wyjaśnianie zagadnień, streszczenia);Pisanie tekstów (np. e-maili, prac, wpisów);Programowanie i analiza danych;Generowanie grafik / obrazów","Zakończyłem/-am swoją edukację","","Tak","","","","","","Programownie","5","Analiza kodu, poprawianie tekstów","Poleganie na sztucznej inteligencji podczas wykonywania obowiązków służbowych;Etyczne wykorzystanie sztucznej inteligencji","3","","","","","","3","4","4","2","3","1",""
"2025/05/21 5:21:10 PM EEST","Kilka razy w tygodniu","3","Pomoc w nauce (np. wyjaśnianie zagadnień, streszczenia);Pisanie tekstów (np. e-maili, prac, wpisów)","Studia/Szkoła wyższa","Tak","","Sprzedawca","3","","Brak","1","","","","","","Żywienie człowieka ","3","Pomóc w nauce","3","2","3","4","5","2","3","3","Korzyści : pomoc w wyszukiwaniu treści (szybkość), dostarczanie konkretnych treści,
Zagrożenia: używanie AI do wszystkiego ( rozleniwienie społeczeństwa), brak nauki ludzi ( w pracy, na studiach)"
"2025/05/21 5:23:57 PM EEST","Kilka razy w tygodniu","4","Pomoc w nauce (np. wyjaśnianie zagadnień, streszczenia);Tłumaczenie treści;Programowanie i analiza danych","Studia/Szkoła wyższa","Nie","","","","","","","","","","","","Oceanografia","4","analiza danych i tworzenie z nich np skróconych notatek, wykonywanie zadań i obliczeń np w exelu i innych programach oraz generowanie instrukcji do samodzielnego ich wykonania, wyszukiwanie źródeł informacji","3","1","5","4","5","4","4","5","korzyści - ułatwienie wykonywania wielu czynności czasochłonnych i schematycznych 
zagrożenia - uzależnienie się ludzi od AI jako źródła informacji oraz pomysłów przez co obniżenie kreatywności i poniekąd samodzielnego myślenia oraz być może chęci do nauki"
"2025/05/21 5:24:20 PM EEST","Kilka razy w miesiącu","4","Pomoc w nauce (np. wyjaśnianie zagadnień, streszczenia);Pisanie tekstów (np. e-maili, prac, wpisów)","Między szkołą średnią a studiami/szkołą wyższą","Nie","","","","","","","","","","","","","3","","2","1","3","4","5","1","","2",""
"2025/05/21 5:30:22 PM EEST","Kilka razy w tygodniu","5","Pomoc w nauce (np. wyjaśnianie zagadnień, streszczenia);Pisanie tekstów (np. e-maili, prac, wpisów);Programowanie i analiza danych","Studia/Szkoła wyższa","Tak","","Tech Artist, Game Developer","5","Razem z chatem piszemy kod, iteracja i wzajemne fixowanie błędów","Poleganie na sztucznej inteligencji podczas wykonywania obowiązków służbowych;Etyczne wykorzystanie sztucznej inteligencji","1","","","","","","Informatyka","5","Mając egzamin wcześniej od innych studentów, jestem w stanie wygenerować sobie gotowca w minutę","4","1","5","5","5","4","1","5",""
"2025/05/21 5:39:58 PM EEST","Więcej niż raz dziennie","4","Pomoc w nauce (np. wyjaśnianie zagadnień, streszczenia);Pisanie tekstów (np. e-maili, prac, wpisów);Programowanie i analiza danych","Szkoła średnia","Tak","","kasjer","3","","Brak kontroli nad ważnymi decyzjami podejmowanymi przez sztuczną inteligencję","5","","","","","","","5","pisze mi rozprawki na polski i nie tylko","5","4","1","4","4","2","","4","no z korzyści to na pewno ułatwia życie a zagrożeniem jest to w jak przerażającym tempie to wszystko się rozwija"
"2025/05/21 5:54:06 PM EEST","Raz w tygodniu","2","Pisanie tekstów (np. e-maili, prac, wpisów);Programowanie i analiza danych","Zakończyłem/-am swoją edukację","","Tak","","","","","","ART QA","3","Jako że popełniam dużo błędów dyslektycznych i ogólnie jestem słabym pisarzem. Często proszę o ""napisanie tego lepiej"" przez AI.","Poleganie na sztucznej inteligencji podczas wykonywania obowiązków służbowych;Etyczne wykorzystanie sztucznej inteligencji","2","","","","","","5","5","5","1","","2","ułątwia pewne aspekty, jak na przykłąd przy rozpisaniu leków dawł mi listę w jakiej kolejności powinnam brać i kiedy (mniej wiecej też sama wiedziałam więc nie była to lista na ślepo) Ale z drugiej strony lduzie za bardzo na tym polegają i wręcz biorą to jako wyrocznie. Ma ułatwić prace, nie wykonywać pracę za mnie. "
"2025/05/21 6:13:01 PM EEST","Nigdy","","Nie korzystam z AI","Między szkołą średnią a studiami/szkołą wyższą","Nie","","","","","","","","","","","","","1","","1","5","2","5","5","1","","1","Głównym zagrożeniem ze strony AI jest wpływ na środowisko jaki powodują serwery zasilające rzeczoną sztuczną inteligencje. Pomijając ten aspekt wyniszcza ona powoli kreatywność ludzką i przykładowo w pracy grafika nie ma się już takiej pewności zatrudnienia gdyż wielkie korporacje często zastępują swych grafików programami AI gdyż te są tańsze. "
"2025/05/21 6:14:49 PM EEST","Nigdy","","Nie korzystam z AI","Studia/Szkoła wyższa","Nie","","","","","","","","","","","","Grafika warsztatowa","1","","1","5","4","5","5","1","","1","AI mogłoby przynosić korzyści, gdyby nie było rozwijane w polach kreatywnych. Takie narzędzie świetnie sprawdziłoby się w dziedzinach ścisłych. Fakt, że jest rozwijane w strefach życia, które mają dawać człowiekowi radość to największe zagrożenie jakie widać to ludzie zapracowujacy się na śmierć w fabrykach i biurach szukający potem prostej rozrywki. Zamiast tego ai powinno pomagać nam na pokach trudnych i nuzacych a wszystko co związane z kreatywnością pozostawić tylko czlowiekowi"
"2025/05/21 6:22:58 PM EEST","Kilka razy w tygodniu","3","Rozrywka (np. chatboty, gry);Pytanie o ciekawe owady, zadawanie kreatywnych pytań i używanie odpowiedzi do przymuszenia do wymyślenia czegoś ciekawszego","Między szkołą średnią a studiami/szkołą wyższą","Nie","","","","","","","","","","","","","3","","2","4","5","4","5","2","","1","Korzyści
- przyspieszenie szukania informacji(aczkolwiek informacje te często są nieprawidłowe)

Zagrożenia
-utrata wartości przez treści kreatywne(książki,filmy,muzyka, obrazy produkowane masowo)
-"
